code,region,name,exchange,type
TRT,US,Trio-Tech International Common Stock,AMEX,stock
TRX,US,TRX Gold Corporation Common Stock,AMEX,stock
UAVS,US,AgEagle Aerial Systems Inc. Common Stock,AMEX,stock
UEC,US,Uranium Energy Corp. Common Stock,AMEX,stock
UMAC,US,Unusual Machines Inc. Common Stock,AMEX,stock
URG,US,Ur Energy Inc Common Shares (Canada),AMEX,stock
USAS,US,Americas Gold and Silver Corporation Common Shares no par value,AMEX,stock
USBC,US,USBC Inc. Common Stock,AMEX,stock
UTG,US,Reaves Utility Income Fund Common Shares of Beneficial Interest,AMEX,stock
UUU,US,Universal Safety Products Inc. Common Stock,AMEX,stock
UUUU,US,Energy Fuels Inc Ordinary Shares (Canada),AMEX,stock
VENU,US,Venu Holding Corporation Common Stock,AMEX,stock
VFL,US,abrdn National Municipal Income Fund Common Stock,AMEX,stock
VGZ,US,Vista Gold Corp Common Stock,AMEX,stock
VKI,US,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),AMEX,stock
VNRX,US,VolitionRX Limited Common Stock,AMEX,stock
VNTG,US,Vantage Corp Class A Ordinary Shares,AMEX,stock
VTAK,US,Catheter Precision Inc. Common Stock,AMEX,stock
VZLA,US,Vizsla Silver Corp. Common Shares,AMEX,stock
WRN,US,Western Copper and Gold Corporation Common Stock,AMEX,stock
WWR,US,Westwater Resources Inc. Common Stock,AMEX,stock
WYY,US,WidePoint Corporation Common Stock,AMEX,stock
XPL,US,Solitario Resources Corp. Common Stock,AMEX,stock
XTNT,US,Xtant Medical Holdings Inc. Common Stock,AMEX,stock
YCBD,US,cbdMD Inc. Common Stock,AMEX,stock
ZDGE,US,Zedge Inc. Class B Common Stock,AMEX,stock
ZONE,US,CleanCore Solutions Inc. Class B Common Stock,AMEX,stock
